_id,art_url,item_type,utc_date,country_code,track_album_slug_text,country,slug_type,amount_paid_fmt,item_price,item_description,art_id,url,amount_paid,releases,artist_name,currency,album_title,amount_paid_usd,package_image_id,amount_over_fmt,item_slug,addl_count
1599688803.5175&//girlbanddublin.bandcamp.com/album/live-at-vicar-street,https://f4.bcbits.com/img/a0206405257_7.jpg,a,1599688803.5175,gb,,United Kingdom,a,$9.99,9.98999977111816,Live at Vicar Street,206405257.0,//girlbanddublin.bandcamp.com/album/live-at-vicar-street,9.99,,Girl Band,USD,,9.99,,,,
1599688805.27838&//maharettarecords.bandcamp.com/album/neurogen,https://f4.bcbits.com/img/a2984241552_7.jpg,a,1599688805.2783802,fi,,Finland,a,£1,1.0,Neurogen,2984241552.0,//maharettarecords.bandcamp.com/album/neurogen,1.0,,Jirah,GBP,,1.3,,,,
1599688805.90646&//maharettarecords.bandcamp.com/album/the-last-snare-bender-2,https://f4.bcbits.com/img/a3320494770_7.jpg,a,1599688805.90646,fi,,Finland,a,£3,3.0,The Last Snare Bender,3320494770.0,//maharettarecords.bandcamp.com/album/the-last-snare-bender-2,3.0,,D-Ther,GBP,,3.9,,,,
1599688806.94234&//alicesitski.bandcamp.com/album/white-noise-tv,https://f4.bcbits.com/img/0020476345_37.jpg,p,1599688806.94234,gb,,United Kingdom,a,€10.50,10.5,Limited Edition Compact Disc,,//alicesitski.bandcamp.com/album/white-noise-tv,10.5,,WHITE NOISE TV,EUR,WHITE NOISE TV,12.39,20476345.0,,,
1599688809.07942&//linguaignota.bandcamp.com/track/o-ruthless-great-divine-director,https://f4.bcbits.com/img/a3428873396_7.jpg,t,1599688809.07942,us,,United States,t,$1,1.0,O Ruthless Great Divine Director,3428873396.0,//linguaignota.bandcamp.com/track/o-ruthless-great-divine-director,1.0,,LINGUA IGNOTA,USD,,1.0,,,,
1599688812.69267&//sofiefatouretchi.bandcamp.com/track/try-to-reach-me,https://f4.bcbits.com/img/a0772371002_7.jpg,t,1599688812.69267,us,,United States,t,$1.29,1.28999996185303,Try to Reach Me,772371002.0,//sofiefatouretchi.bandcamp.com/track/try-to-reach-me,1.29,,Sofie,USD,Cult Survivor,1.29,,,,
1599688813.89375&//plexitofer.bandcamp.com/album/the-new-anime-groove-collection,https://f4.bcbits.com/img/a3245809273_7.jpg,a,1599688813.89375,jp,,Japan,a,$1,0.0,THE NEW ANIME GROOVE COLLECTION,3245809273.0,//plexitofer.bandcamp.com/album/the-new-anime-groove-collection,1.0,,Plexi Music,USD,,1.0,,,,
1599688817.63138&//haroldbudd.bandcamp.com/album/the-white-arcades,https://f4.bcbits.com/img/a1223607670_7.jpg,a,1599688817.63138,de,,Germany,a,£5,5.0,The White Arcades,1223607670.0,//haroldbudd.bandcamp.com/album/the-white-arcades,5.0,,Harold Budd,GBP,,6.5,,,,
1599688823.53451&//favoriterecordings.bandcamp.com/track/better-day-hard-soul-mix,https://f4.bcbits.com/img/a1858161280_7.jpg,t,1599688823.53451,ch,,Switzerland,t,€1.99,1.99000000953674,Better Day (Hard Soul Mix),1858161280.0,//favoriterecordings.bandcamp.com/track/better-day-hard-soul-mix,1.99,,Djeneba,EUR,French Disco Boogie Sounds Vol.4,2.35,,,,
1599688825.93404&//amandapalmer.bandcamp.com/track/its-a-fire,https://f4.bcbits.com/img/a2371143964_7.jpg,t,1599688825.93404,us,,United States,t,$1,1.0,It's A Fire,2371143964.0,//amandapalmer.bandcamp.com/track/its-a-fire,1.0,,Amanda Palmer & Rhiannon Giddens,USD,,1.0,,,,
