Artist_ID,Nama_Artis,Primary_Genre
ART-08BDE1AC,Girl Band,Indie / Alternative
ART-A1C6EC60,Jirah,Indie / Alternative
ART-48DFDF52,D-Ther,Indie / Alternative
ART-8088FA59,WHITE NOISE TV,Indie / Alternative
ART-7AC5CA41,LINGUA IGNOTA,Indie / Alternative
ART-D8C5EBED,Sofie,Indie / Alternative
ART-CFEC435C,Plexi Music,Indie / Alternative
ART-1FC7E102,Harold Budd,Indie / Alternative
ART-06D701B8,Djeneba,Indie / Alternative
ART-73D37961,Amanda Palmer & Rhiannon Giddens,Indie / Alternative
ART-DAA473B1,The Ochre,Indie / Alternative
ART-8CF2879F,Cookin Soul,Indie / Alternative
ART-28D4D412,Zoi (CA),Indie / Alternative
ART-29A90BF1,SPT,Indie / Alternative
ART-7065C618,Death on the Balcony,Indie / Alternative
ART-777AAE29,Darcie,Indie / Alternative
ART-CC4FA7E6,"Sheila Rickards, King Tubby, Prince Philip,  The Aggrovators.",Indie / Alternative
ART-8F7DA2C8,Unreqvited,Indie / Alternative
ART-A9D098D4,Gloga,Indie / Alternative
ART-81FBEAE1,Flasher,Indie / Alternative
ART-BDCCDD5B,Ciel,Indie / Alternative
ART-A7745C3F,BCee & Charlotte Haining,Indie / Alternative
ART-83D95028,Mike Montoya,Indie / Alternative
ART-F592FAD5,Brian Grainger,Indie / Alternative
ART-991A6DE9,Blau Blau,Indie / Alternative
ART-B5A275FD,Mogwai,Indie / Alternative
ART-09DBD3DC,TV Girl,Indie / Alternative
ART-376D34EF,Ryu Tsuruoka,Indie / Alternative
ART-3DC81139,Stars of the Lid / John McCafferty,Indie / Alternative
ART-ED6EAC18,Nubya Garcia,Indie / Alternative
ART-C861B188,RAGANA,Indie / Alternative
ART-8DDF025C,Smarts,Indie / Alternative
ART-24DC96E3,Shlohmo,Indie / Alternative
ART-DFA95A98,The Mountain Goats,Indie / Alternative
ART-7F38926E,Parde Grilon,Indie / Alternative
ART-40358C2B,Bee Gees,Indie / Alternative
ART-92F7D0FE,Dj Kmell,Indie / Alternative
ART-72171BB9,The Dandy Warhols,Indie / Alternative
ART-CFA2B5C4,Mandolin Orange,Indie / Alternative
ART-9C79AF85,Astari Nite,Indie / Alternative
ART-D6C7FC87,God Colony,Indie / Alternative
ART-89FD9E3C,Conan Liquid,Indie / Alternative
ART-3FC1CDFB,Alan Braufman,Indie / Alternative
ART-7EEF34D0,Gacha Bakradze,Indie / Alternative
