Item_ID,Nama_Item,Tipe_Item,Harga_Satuan
ITM-3F13430D,Live at Vicar Street,Digital Album,9.98999977111816
ITM-54294AF1,Neurogen,Digital Album,1.0
ITM-FE0D85E3,The Last Snare Bender,Digital Album,3.0
ITM-9ED260E3,Limited Edition Compact Disc,Physical / Merch,10.5
ITM-12EC2E40,O Ruthless Great Divine Director,Digital Track,1.0
ITM-726E7254,Try to Reach Me,Digital Track,1.28999996185303
ITM-6D1B56EB,THE NEW ANIME GROOVE COLLECTION,Digital Album,0.0
ITM-8D6CF205,The White Arcades,Digital Album,5.0
ITM-E7A91EA0,Better Day (Hard Soul Mix),Digital Track,1.99000000953674
ITM-F135A1D5,It's A Fire,Digital Track,1.0
ITM-E02EAF58,The Ochre (Demos and Designs),Digital Album,7.0
ITM-C2DDB5C4,JOLENE,Digital Track,1.0
ITM-9F991FE1,WICKED GAME,Digital Track,2.99000000953674
ITM-4EE60F6B,Larry June x Cookin Soul - Orange Season (EP),Digital Album,5.0
ITM-8738EB96,Zoi (CA) - Prisms EP,Digital Album,1.9800000190734897
ITM-C16D264D,Shit's Fucked,Digital Track,1.0
ITM-9D2B0A7A,Death on the Balcony - Para Ser Libre,Digital Track,1.9800000190734897
ITM-880A7EF2,Silence,Digital Track,1.0
ITM-30A9EC02,Jamaican Fruit of African Roots EP,Digital Album,4.0
ITM-DFA096EC,Ltd. DigiCD,Physical / Merch,13.8999996185303
ITM-C14D835F,Dregs In Bloom,Digital Album,2.0
ITM-A51C485C,Winnie b/w Burn Blue,Digital Album,2.0
ITM-864095A0,S/T EP,Digital Album,7.0
ITM-268D6EAC,"BBR#36 CIEL 'Movement' Limited Edition 6 track 7"" E.P",Physical / Merch,5.5
ITM-91C5BF31,"Limited Edition 2 x 12"" Vinyl Gatefold - *SIGNED PRE-ORDERS BEFORE 11th SEP*.",Physical / Merch,19.9899997711182
ITM-AB6E6A67,Unruly Gentleman (BONUS TRACK!!),Digital Track,1.0
ITM-21C52451,Limited Edition CD-R,Physical / Merch,12.0
ITM-C8719336,KISS KISS,Digital Album,0.0
ITM-84DDFB34,2018,Digital Album,0.0
ITM-95A77F5A,French Exit Repress,Physical / Merch,20.0
ITM-AD5635B6,Omae,Digital Track,3.0
ITM-9711E7A3,Per Aspera Ad Astra,Digital Album,9.0
ITM-810BD681,Double Vinyl,Physical / Merch,29.9899997711182
ITM-4EA6277E,dark woods tshirt,Physical / Merch,15.0
ITM-8AE0FADB,Smarts LP - White Vinyl,Physical / Merch,28.0
ITM-02665B3B,"Heaven Inc. / Looking At Plants 7""",Physical / Merch,13.0
ITM-E940688F,Transcendental Youth,Digital Album,8.0
ITM-C152FEA8,Black Ops EP,Digital Album,3.0
ITM-E7D214D9,Staying Alive (A.Skillz Remix),Digital Track,1.0
ITM-62359886,Gala - Freed From Desire (Summer Remix),Digital Track,2.0
ITM-E32BCF6F,Barry White - Can't Get Enough Of Your Love Babe ( Kmell Re loved 2020),Digital Track,3.0
ITM-AE69DDE2,Kool & The Gang - Straight Ahead (Kmell Rework 2020),Digital Track,3.0
ITM-42CB394F,Change - A Lover's Holiday (Kmell Reedit 2020),Digital Track,2.0
ITM-4EF148E6,Kurtis Blow-The Breaks (Kmell Remix 2020),Digital Track,2.0
ITM-25784DF4,Gloria Estefan - Conga (Kmell Re-Cong 2020),Digital Track,2.5
ITM-FA79F10D,Lisa Stanfield -The Real Thing (Kmell Rework 2020),Digital Track,2.0
ITM-9C60AF10,Kim Carnes - Bettes Davis Eyes (Kmell Re-Tide 2020),Digital Track,2.5
ITM-C75784F8,Warhol Wednesday: Endless Live Album,Digital Album,10.0
ITM-0E07CA5E,Second pressing - Clear 2x Vinyl LP,Physical / Merch,40.0
ITM-27D99B9D,Until the End of the Moon,Digital Album,0.0
ITM-A63F1018,Turn My G Down (feat. Stash Marina),Digital Track,1.5
ITM-83D099B1,Pat Metheenee - Slip Away (Conan Liquid Crates Motel Remix),Digital Track,2.4000000953674303
ITM-10D18E5C,The Fire Still Burns,Digital Album,10.0
ITM-C52DFCA3,Elton Jon - Are you ready for love? (Conan Liquid Reel to reel re re re edit),Digital Track,1.20000004768372
ITM-11CEF8E5,JamiroKwai - Too Young to Die (Conan Liquid Reel to reel re re re edit),Digital Track,2.4000000953674303
ITM-823B41B8,Alicia - I want to thank you (Conan Liquid Crates Motel Naughty but Splice Edit),Digital Track,1.20000004768372
ITM-AE412F76,Jan Jacksun - When I think of You (Conan Liquid Reel to reel re re re edit),Digital Track,1.20000004768372
ITM-679BA506,Big Cabin,Digital Track,3.0
ITM-F51EA8E7,The Power (Chris Gs Edit),Digital Track,7.0
