User_ID,Nama_User,Fan_Status
USR-103,Anonymous Fan USR-103,Standard
USR-436,Anonymous Fan USR-436,Standard
USR-349,Anonymous Fan USR-349,Subscriber
USR-271,Anonymous Fan USR-271,Standard
USR-107,Anonymous Fan USR-107,Standard
USR-72,Anonymous Fan USR-72,Standard
USR-189,Anonymous Fan USR-189,Standard
USR-21,Anonymous Fan USR-21,Standard
USR-122,Anonymous Fan USR-122,Standard
USR-467,Anonymous Fan USR-467,Standard
USR-215,Anonymous Fan USR-215,Standard
USR-331,Anonymous Fan USR-331,Standard
USR-459,Anonymous Fan USR-459,Subscriber
USR-88,Anonymous Fan USR-88,Standard
USR-373,Anonymous Fan USR-373,Standard
USR-100,Anonymous Fan USR-100,Standard
USR-360,Anonymous Fan USR-360,Standard
USR-152,Anonymous Fan USR-152,Standard
USR-131,Anonymous Fan USR-131,Standard
USR-150,Anonymous Fan USR-150,Standard
USR-309,Anonymous Fan USR-309,Standard
USR-258,Anonymous Fan USR-258,Standard
USR-344,Anonymous Fan USR-344,Subscriber
USR-492,Anonymous Fan USR-492,Standard
USR-414,Anonymous Fan USR-414,Standard
USR-294,Anonymous Fan USR-294,Standard
USR-386,Anonymous Fan USR-386,Standard
USR-192,Anonymous Fan USR-192,Standard
USR-444,Anonymous Fan USR-444,Standard
USR-277,Anonymous Fan USR-277,Subscriber
USR-161,Anonymous Fan USR-161,Standard
USR-460,Anonymous Fan USR-460,Subscriber
USR-314,Anonymous Fan USR-314,Subscriber
USR-22,Anonymous Fan USR-22,Standard
USR-253,Anonymous Fan USR-253,Standard
USR-236,Anonymous Fan USR-236,Standard
USR-345,Anonymous Fan USR-345,Standard
USR-49,Anonymous Fan USR-49,Standard
USR-475,Anonymous Fan USR-475,Standard
USR-59,Anonymous Fan USR-59,Standard
USR-170,Anonymous Fan USR-170,Subscriber
USR-476,Anonymous Fan USR-476,Subscriber
USR-188,Anonymous Fan USR-188,Standard
USR-464,Anonymous Fan USR-464,Subscriber
USR-190,Anonymous Fan USR-190,Standard
USR-446,Anonymous Fan USR-446,Standard
USR-175,Anonymous Fan USR-175,Standard
USR-51,Anonymous Fan USR-51,Standard
USR-364,Anonymous Fan USR-364,Standard
USR-55,Anonymous Fan USR-55,Standard
USR-244,Anonymous Fan USR-244,Standard
USR-320,Anonymous Fan USR-320,Subscriber
USR-485,Anonymous Fan USR-485,Standard
USR-307,Anonymous Fan USR-307,Standard
USR-135,Anonymous Fan USR-135,Standard
USR-329,Anonymous Fan USR-329,Standard
USR-167,Anonymous Fan USR-167,Standard
USR-274,Anonymous Fan USR-274,Subscriber
USR-388,Anonymous Fan USR-388,Standard
USR-89,Anonymous Fan USR-89,Standard
USR-316,Anonymous Fan USR-316,Standard
USR-14,Anonymous Fan USR-14,Standard
USR-242,Anonymous Fan USR-242,Standard
USR-265,Anonymous Fan USR-265,Standard
USR-346,Anonymous Fan USR-346,Standard
USR-53,Anonymous Fan USR-53,Standard
USR-340,Anonymous Fan USR-340,Standard
USR-92,Anonymous Fan USR-92,Standard
USR-367,Anonymous Fan USR-367,Standard
USR-455,Anonymous Fan USR-455,Standard
USR-428,Anonymous Fan USR-428,Standard
USR-264,Anonymous Fan USR-264,Standard
USR-431,Anonymous Fan USR-431,Standard
USR-35,Anonymous Fan USR-35,Standard
USR-206,Anonymous Fan USR-206,Subscriber
USR-81,Anonymous Fan USR-81,Standard
USR-420,Anonymous Fan USR-420,Subscriber
USR-50,Anonymous Fan USR-50,Standard
USR-2,Anonymous Fan USR-2,Standard
USR-390,Anonymous Fan USR-390,Subscriber
USR-54,Anonymous Fan USR-54,Standard
USR-106,Anonymous Fan USR-106,Standard
USR-260,Anonymous Fan USR-260,Standard
USR-310,Anonymous Fan USR-310,Standard
USR-477,Anonymous Fan USR-477,Standard
USR-191,Anonymous Fan USR-191,Standard
USR-402,Anonymous Fan USR-402,Subscriber
USR-218,Anonymous Fan USR-218,Standard
USR-44,Anonymous Fan USR-44,Standard
USR-162,Anonymous Fan USR-162,Standard
USR-202,Anonymous Fan USR-202,Standard
USR-484,Anonymous Fan USR-484,Standard
USR-270,Anonymous Fan USR-270,Standard
USR-351,Anonymous Fan USR-351,Standard
USR-304,Anonymous Fan USR-304,Standard
USR-456,Anonymous Fan USR-456,Standard
USR-462,Anonymous Fan USR-462,Standard
USR-252,Anonymous Fan USR-252,Subscriber
USR-296,Anonymous Fan USR-296,Standard
USR-213,Anonymous Fan USR-213,Standard
USR-208,Anonymous Fan USR-208,Subscriber
USR-237,Anonymous Fan USR-237,Standard
USR-338,Anonymous Fan USR-338,Subscriber
USR-280,Anonymous Fan USR-280,Standard
USR-410,Anonymous Fan USR-410,Standard
USR-217,Anonymous Fan USR-217,Standard
USR-380,Anonymous Fan USR-380,Standard
USR-493,Anonymous Fan USR-493,Standard
USR-41,Anonymous Fan USR-41,Standard
USR-157,Anonymous Fan USR-157,Standard
USR-15,Anonymous Fan USR-15,Standard
USR-301,Anonymous Fan USR-301,Subscriber
USR-65,Anonymous Fan USR-65,Standard
USR-327,Anonymous Fan USR-327,Standard
USR-9,Anonymous Fan USR-9,Subscriber
USR-129,Anonymous Fan USR-129,Standard
USR-136,Anonymous Fan USR-136,Standard
USR-472,Anonymous Fan USR-472,Standard
USR-63,Anonymous Fan USR-63,Standard
USR-139,Anonymous Fan USR-139,Standard
USR-499,Anonymous Fan USR-499,Standard
USR-392,Anonymous Fan USR-392,Subscriber
USR-163,Anonymous Fan USR-163,Standard
USR-419,Anonymous Fan USR-419,Standard
USR-289,Anonymous Fan USR-289,Standard
USR-379,Anonymous Fan USR-379,Standard
USR-261,Anonymous Fan USR-261,Standard
USR-490,Anonymous Fan USR-490,Standard
USR-231,Anonymous Fan USR-231,Standard
USR-28,Anonymous Fan USR-28,Standard
USR-201,Anonymous Fan USR-201,Standard
USR-328,Anonymous Fan USR-328,Standard
USR-268,Anonymous Fan USR-268,Standard
USR-418,Anonymous Fan USR-418,Standard
USR-33,Anonymous Fan USR-33,Standard
USR-48,Anonymous Fan USR-48,Standard
USR-407,Anonymous Fan USR-407,Standard
USR-62,Anonymous Fan USR-62,Subscriber
USR-216,Anonymous Fan USR-216,Standard
USR-293,Anonymous Fan USR-293,Standard
USR-99,Anonymous Fan USR-99,Standard
USR-172,Anonymous Fan USR-172,Standard
USR-214,Anonymous Fan USR-214,Subscriber
USR-449,Anonymous Fan USR-449,Standard
USR-227,Anonymous Fan USR-227,Standard
USR-101,Anonymous Fan USR-101,Standard
USR-257,Anonymous Fan USR-257,Standard
USR-5,Anonymous Fan USR-5,Subscriber
USR-255,Anonymous Fan USR-255,Standard
USR-398,Anonymous Fan USR-398,Subscriber
USR-359,Anonymous Fan USR-359,Standard
USR-283,Anonymous Fan USR-283,Subscriber
USR-393,Anonymous Fan USR-393,Standard
USR-207,Anonymous Fan USR-207,Standard
USR-42,Anonymous Fan USR-42,Standard
USR-461,Anonymous Fan USR-461,Subscriber
USR-179,Anonymous Fan USR-179,Subscriber
USR-352,Anonymous Fan USR-352,Standard
USR-241,Anonymous Fan USR-241,Subscriber
USR-52,Anonymous Fan USR-52,Standard
USR-96,Anonymous Fan USR-96,Subscriber
USR-222,Anonymous Fan USR-222,Standard
USR-143,Anonymous Fan USR-143,Standard
USR-171,Anonymous Fan USR-171,Subscriber
USR-29,Anonymous Fan USR-29,Standard
USR-36,Anonymous Fan USR-36,Standard
USR-13,Anonymous Fan USR-13,Standard
USR-160,Anonymous Fan USR-160,Subscriber
USR-187,Anonymous Fan USR-187,Standard
USR-243,Anonymous Fan USR-243,Subscriber
USR-86,Anonymous Fan USR-86,Standard
USR-284,Anonymous Fan USR-284,Standard
USR-66,Anonymous Fan USR-66,Standard
USR-45,Anonymous Fan USR-45,Standard
USR-441,Anonymous Fan USR-441,Standard
USR-134,Anonymous Fan USR-134,Standard
USR-108,Anonymous Fan USR-108,Standard
USR-286,Anonymous Fan USR-286,Standard
USR-128,Anonymous Fan USR-128,Subscriber
USR-348,Anonymous Fan USR-348,Standard
USR-473,Anonymous Fan USR-473,Standard
USR-225,Anonymous Fan USR-225,Standard
