Primary_Genre,Nama_Artis,Item_Terjual,Total_Revenue,Harga_Rata_Rata
(synthetic) Indie / Alternative,Various Artists,10931,97128.36,8.89
(synthetic) Indie / Alternative,SAULT,4526,88535.19,19.56
(synthetic) Indie / Alternative,Various Artists Working to Avert the Collapse of American Democracy,3479,75673.06,21.75
(synthetic) Indie / Alternative,Shpongle,845,69871.78,82.69
(synthetic) Indie / Alternative,King Gizzard & The Lizard Wizard,2806,61917.45,22.07
(synthetic) Indie / Alternative,WestSide Gunn,1095,34229.52,31.26
(synthetic) Indie / Alternative,SAIKE,773,27700.25,35.83
(synthetic) Indie / Alternative,Unity,966,27531.75,28.5
(synthetic) Indie / Alternative,IRATION STEPPAS,825,26836.42,32.53
(synthetic) Indie / Alternative,Various,2084,25559.89,12.26
(synthetic) Indie / Alternative,Barbara Marciniak,4628,24362.85,5.26
(synthetic) Indie / Alternative,ミカヅキBIGWAVE,1320,24255.81,18.38
(synthetic) Indie / Alternative,Drive-By Truckers,965,18997.78,19.69
(synthetic) Indie / Alternative,Fleet Foxes,2088,18977.21,9.09
(synthetic) Indie / Alternative,Matthew Halsall,704,18116.79,25.73
(synthetic) Indie / Alternative,SLIFT,819,17016.66,20.78
(synthetic) Indie / Alternative,Mandolin Orange,519,16982.5,32.72
(synthetic) Indie / Alternative,Eternal Champion,467,16527.13,35.39
(synthetic) Indie / Alternative,Live At Robert Johnson,189,15966.29,84.48
(synthetic) Indie / Alternative,IDLES,1125,14362.92,12.77
(synthetic) Indie / Alternative,Akhlys,570,13628.4,23.91
(synthetic) Indie / Alternative,Bucketheadland,2212,13519.85,6.11
(synthetic) Indie / Alternative,Sufjan Stevens,1363,13056.09,9.58
(synthetic) Indie / Alternative,Nothing,686,12855.03,18.74
(synthetic) Indie / Alternative,Calibro 35,268,12768.31,47.64
(synthetic) Indie / Alternative,FUNHOUSE,298,12752.0,42.79
(synthetic) Indie / Alternative,Michael-Scott Earle,1186,12559.2,10.59
(synthetic) Indie / Alternative,Jónsi,448,12318.41,27.5
(synthetic) Indie / Alternative,Svalbard,755,12286.03,16.27
(synthetic) Indie / Alternative,All Them Witches,694,11770.87,16.96
(synthetic) Indie / Alternative,TWRP,1091,11494.04,10.54
(synthetic) Indie / Alternative,Boris,764,11286.78,14.77
(synthetic) Indie / Alternative,Molchat Doma,755,11068.1,14.66
(synthetic) Indie / Alternative,Mildlife,622,11035.87,17.74
(synthetic) Indie / Alternative,RUN,211,10614.44,50.31
(synthetic) Indie / Alternative,Leaether Strip,528,10414.61,19.72
(synthetic) Indie / Alternative,situationchicago,180,10374.03,57.63
(synthetic) Indie / Alternative,"Estee Nack,Al.divino",283,10029.29,35.44
(synthetic) Indie / Alternative,Men I Trust,666,9921.14,14.9
(synthetic) Indie / Alternative,Deep Jungle,650,9652.38,14.85
(synthetic) Indie / Alternative,Rob Mazurek – Exploding Star Orchestra,390,9602.0,24.62
(synthetic) Indie / Alternative,TV Girl,645,9515.66,14.75
(synthetic) Indie / Alternative,Lebanon Hanover,437,9376.1,21.46
(synthetic) Indie / Alternative,EABS,353,9128.03,25.86
(synthetic) Indie / Alternative,Anamanaguchi,441,8980.84,20.36
(synthetic) Indie / Alternative,Enemies,316,8955.85,28.34
(synthetic) Indie / Alternative,Julien Earle,1282,8914.0,6.95
(synthetic) Indie / Alternative,Max Cooper,122,8404.1,68.89
(synthetic) Indie / Alternative,XIU XIU,413,8308.57,20.12
(synthetic) Indie / Alternative,Emma Swift,537,8105.21,15.09
(synthetic) Indie / Alternative,Lachy Doley,275,8017.52,29.15
(synthetic) Indie / Alternative,Action Bronson,278,7992.46,28.75
(synthetic) Indie / Alternative,Cracknation Records,541,7971.9,14.74
(synthetic) Indie / Alternative,Robyn Hitchcock,786,7965.49,10.13
(synthetic) Indie / Alternative,Makeup and Vanity Set,537,7904.46,14.72
(synthetic) Indie / Alternative,Trym,514,7888.92,15.35
(synthetic) Indie / Alternative,Clouds,317,7860.93,24.8
(synthetic) Indie / Alternative,Nickel Creek,312,7856.49,25.18
(synthetic) Indie / Alternative,Sarah Davachi,506,7848.18,15.51
(synthetic) Indie / Alternative,J Majik / Photek / Digital,544,7826.28,14.39
(synthetic) Indie / Alternative,Skáphe,623,7808.05,12.53
(synthetic) Indie / Alternative,UADA,569,7789.97,13.69
(synthetic) Indie / Alternative,The Ocean,614,7658.68,12.47
(synthetic) Indie / Alternative,clipping.,619,7641.32,12.34
(synthetic) Indie / Alternative,Gaz Brookfield,432,7525.85,17.42
(synthetic) Indie / Alternative,V/A,705,7458.89,10.58
(synthetic) Indie / Alternative,Sun Ra Arkestra,206,7439.21,36.11
(synthetic) Indie / Alternative,Nicolas Jaar,323,7363.29,22.8
(synthetic) Indie / Alternative,Heilung,349,7326.72,20.99
(synthetic) Indie / Alternative,Deerhoof,931,7270.07,7.81
(synthetic) Indie / Alternative,Soft Kill,351,7071.13,20.15
(synthetic) Indie / Alternative,R u n n e r s  C l u b  9 5,254,6997.49,27.55
(synthetic) Indie / Alternative,Bad Time Records,971,6898.61,7.1
(synthetic) Indie / Alternative,Boy Harsher,381,6894.22,18.1
(synthetic) Indie / Alternative,Zeal and Ardor,471,6739.69,14.31
(synthetic) Indie / Alternative,D.M.T. Records,7,6667.58,952.51
(synthetic) Indie / Alternative,Oh Sees,884,6483.51,7.33
(synthetic) Indie / Alternative,POSSESSION,650,6403.7,9.85
(synthetic) Indie / Alternative,PC Music,694,6359.53,9.16
(synthetic) Indie / Alternative,HOMESHAKE,328,6314.09,19.25
(synthetic) Indie / Alternative,Good Music,76,6165.0,81.12
(synthetic) Indie / Alternative,The Caretaker,921,6134.53,6.66
(synthetic) Indie / Alternative,Lamp of Murmuur,475,6089.23,12.82
(synthetic) Indie / Alternative,Necrot,387,6086.56,15.73
(synthetic) Indie / Alternative,Knxwledge.,735,6083.98,8.28
(synthetic) Indie / Alternative,Jeff Rosenstock,1134,6083.64,5.36
(synthetic) Indie / Alternative,Bbymutha,326,6059.44,18.59
(synthetic) Indie / Alternative,Runners Club 95,226,6001.4,26.55
(synthetic) Indie / Alternative,City Girl,408,5971.5,14.64
(synthetic) Indie / Alternative,Oneohtrix Point Never,371,5920.06,15.96
(synthetic) Indie / Alternative,UNKLE,227,5781.51,25.47
(synthetic) Indie / Alternative,Moor Mother,362,5755.28,15.9
(synthetic) Indie / Alternative,Two Minutes To Late Night,931,5690.86,6.11
(synthetic) Indie / Alternative,Avalon Emerson,322,5676.32,17.63
(synthetic) Indie / Alternative,Gunn-Truscinski Duo,110,5607.0,50.97
(synthetic) Indie / Alternative,Intergalactic Federation,185,5534.94,29.92
(synthetic) Indie / Alternative,Ministry,74,5530.6,74.74
(synthetic) Indie / Alternative,Sylvan Esso,418,5511.57,13.19
(synthetic) Indie / Alternative,Khruangbin,450,5450.62,12.11
(synthetic) Indie / Alternative,Mammal Hands,358,5357.29,14.96
(synthetic) Indie / Alternative,WhoDemSound Records,464,5300.21,11.42
(synthetic) Indie / Alternative,Deep Sea Diver,218,5296.0,24.29
(synthetic) Indie / Alternative,Vril & Rødhåd,129,5270.69,40.86
(synthetic) Indie / Alternative,DAN TERMINUS,752,5182.96,6.89
(synthetic) Indie / Alternative,NECRONOMIDOL,349,5165.7,14.8
(synthetic) Indie / Alternative,Bugs,173,5124.59,29.62
(synthetic) Indie / Alternative,Scone Cash Players,182,5064.5,27.83
(synthetic) Indie / Alternative,Noxial,203,5060.77,24.93
(synthetic) Indie / Alternative,SUMAC,351,5006.67,14.26
(synthetic) Indie / Alternative,Ginger Wildheart,398,4971.67,12.49
(synthetic) Indie / Alternative,Empathy Test,217,4961.32,22.86
(synthetic) Indie / Alternative,clown core,555,4956.64,8.93
(synthetic) Indie / Alternative,Kelly Lee Owens,372,4949.51,13.31
(synthetic) Indie / Alternative,Hellripper,372,4857.56,13.06
(synthetic) Indie / Alternative,Darren Korb,539,4783.33,8.87
(synthetic) Indie / Alternative,William McCarthy,467,4763.14,10.2
(synthetic) Indie / Alternative,Imperial Triumphant,261,4715.86,18.07
(synthetic) Indie / Alternative,Tokyo Rose,140,4559.96,32.57
(synthetic) Indie / Alternative,Assemblage 23,336,4550.25,13.54
(synthetic) Indie / Alternative,Craven Faults,275,4515.89,16.42
(synthetic) Indie / Alternative,NxxxxxS,229,4503.83,19.67
(synthetic) Indie / Alternative,* Little Steven & the Disciples of Soul,174,4494.92,25.83
(synthetic) Indie / Alternative,Christian Scott aTunde Adjuah,253,4493.24,17.76
(synthetic) Indie / Alternative,Phoebe Bridgers,345,4490.61,13.02
(synthetic) Indie / Alternative,Open Hand,134,4484.78,33.47
(synthetic) Indie / Alternative,Meitei / 冥丁,217,4376.95,20.17
(synthetic) Indie / Alternative,Emma Ruth Rundle & Thou,267,4345.29,16.27
(synthetic) Indie / Alternative,Gidge,263,4337.31,16.49
(synthetic) Indie / Alternative,Lena Raine,322,4320.86,13.42
(synthetic) Indie / Alternative,James McMurtry,249,4300.03,17.27
(synthetic) Indie / Alternative,Minuit Machine,267,4297.22,16.09
(synthetic) Indie / Alternative,OBF - DUBQUAKE RECORDS,236,4294.54,18.2
(synthetic) Indie / Alternative,DIIV,402,4293.84,10.68
(synthetic) Indie / Alternative,Mogwai,725,4285.79,5.91
