Nama_Artis,Merch_Terjual,Pendapatan_Kotor,Total_Potongan_Bandcamp,Pendapatan_Bersih_Artis
Shpongle,681,68528.21,251.31,68276.9
SAULT,2440,71628.98,6820.24,64808.74
King Gizzard & The Lizard Wizard,1435,49228.47,16.35,49212.12
Various Artists,1923,39235.01,3455.99,35779.02
WestSide Gunn,1095,34229.52,3419.02,30810.5
SAIKE,692,27447.8,0.0,27447.8
IRATION STEPPAS,797,26202.05,0.0,26202.05
Unity,961,27512.75,2476.67,25036.08
ミカヅキBIGWAVE,857,21164.3,2116.43,19047.87
Eternal Champion,394,16179.27,0.0,16179.27
