Negara,Kuartal,Tipe_Item,Volume_Penjualan,Total_Revenue
United States,3,Physical / Merch,86484,1638164.24
United States,3,Digital Album,177545,1294462.17
United Kingdom,3,Physical / Merch,28957,516039.72
United States,4,Physical / Merch,16627,383877.1
United Kingdom,3,Digital Album,51987,328566.39
Germany,3,Physical / Merch,14406,275323.28
United States,4,Digital Album,29389,263676.26
United Kingdom,4,Physical / Merch,11498,225568.75
United States,3,Digital Track,75999,218381.64
Germany,3,Digital Album,32270,210787.51
Australia,3,Physical / Merch,9129,182310.22
Australia,3,Digital Album,22061,153785.2
France,3,Physical / Merch,8180,150974.99
Canada,3,Digital Album,20870,149792.54
Canada,3,Physical / Merch,6735,122258.17
United States,3,Other,4707,109031.5
United Kingdom,4,Digital Album,13756,99266.69
France,3,Digital Album,13615,94386.7
Japan,3,Digital Album,14021,93711.1
Germany,4,Physical / Merch,3686,87128.85
United Kingdom,3,Digital Track,36273,82520.72
Australia,4,Physical / Merch,2728,61377.32
Netherlands,3,Physical / Merch,3034,57767.21
Germany,3,Digital Track,27139,57354.14
Japan,3,Physical / Merch,3161,56269.05
France,4,Physical / Merch,2295,53746.99
Spain,3,Physical / Merch,2966,52264.1
Italy,3,Physical / Merch,2709,52148.52
Belgium,3,Physical / Merch,2550,47572.48
Switzerland,3,Digital Album,6254,46987.89
Sweden,3,Physical / Merch,2245,43119.22
Switzerland,3,Physical / Merch,2056,41183.81
Netherlands,3,Digital Album,5856,37958.79
Germany,4,Digital Album,5168,37061.42
Australia,4,Digital Album,4882,35912.14
Greece,3,Physical / Merch,1669,35664.05
Australia,3,Digital Track,14421,34614.37
Ireland,3,Physical / Merch,1737,32604.02
United States,4,Digital Track,7754,28449.83
Italy,3,Digital Album,4107,27055.66
Belgium,3,Digital Album,3760,26360.56
Norway,3,Physical / Merch,1254,25610.44
France,3,Digital Track,11448,25336.38
Spain,3,Digital Album,3780,24699.83
Canada,3,Digital Track,9095,24143.86
Canada,4,Physical / Merch,1141,24116.74
Ireland,3,Digital Album,3151,23408.49
Canada,4,Digital Album,3098,23228.03
Japan,3,Digital Track,10468,22806.82
Netherlands,4,Physical / Merch,890,22325.4
Denmark,3,Physical / Merch,1136,22193.48
United Kingdom,3,Other,1138,21998.32
New Zealand,3,Digital Album,3234,21622.62
Sweden,3,Digital Album,3299,21268.41
Finland,3,Physical / Merch,1131,21119.65
Germany,3,Other,845,20888.01
Japan,4,Digital Album,2762,20544.53
Austria,3,Physical / Merch,1049,20232.58
New Zealand,3,Physical / Merch,902,18082.62
Norway,3,Digital Album,2609,18065.41
Russian Federation,3,Digital Album,3628,17952.66
Austria,3,Digital Album,2318,17669.6
France,4,Digital Album,2290,17497.12
Belgium,4,Physical / Merch,715,16665.33
Finland,3,Digital Album,2550,16131.24
Poland,3,Physical / Merch,986,15813.65
Spain,4,Physical / Merch,737,15113.26
Sweden,4,Physical / Merch,521,14889.63
Poland,3,Digital Album,2803,14554.66
Italy,4,Physical / Merch,695,14302.07
United Kingdom,4,Digital Track,5218,14124.89
Switzerland,4,Physical / Merch,544,13743.89
Switzerland,3,Digital Track,5659,13395.88
Ireland,4,Physical / Merch,569,12594.32
Denmark,3,Digital Album,1852,12385.32
Poland,4,Physical / Merch,514,12301.79
France,3,Other,316,12201.73
United States,4,Other,484,11462.77
Canada,3,Other,472,11434.8
Greece,3,Digital Album,1720,11066.49
Russian Federation,3,Digital Track,3982,10953.15
Netherlands,3,Digital Track,5256,10921.69
Japan,4,Physical / Merch,604,10833.79
Russian Federation,3,Physical / Merch,604,10714.52
Portugal,3,Physical / Merch,599,10635.79
Israel,3,Digital Album,1409,10591.22
Australia,3,Other,495,10252.21
Republic of Korea,3,Digital Album,1068,9658.24
Netherlands,4,Digital Album,1280,8896.2
Denmark,4,Physical / Merch,353,8793.49
Ireland,4,Digital Album,941,8586.89
Israel,3,Physical / Merch,355,8433.8
Czech Republic,3,Digital Album,1389,8317.09
Greece,4,Physical / Merch,326,8103.85
Czech Republic,3,Physical / Merch,447,7809.45
Switzerland,4,Digital Album,1020,7785.09
Italy,3,Digital Track,3118,7517.99
Mexico,3,Digital Album,1480,7515.04
Switzerland,3,Other,160,7475.8
Norway,4,Physical / Merch,293,7259.77
Germany,4,Digital Track,2950,7187.59
Mexico,3,Physical / Merch,391,7117.95
Spain,3,Digital Track,3175,6972.22
Belgium,3,Digital Track,2574,6818.08
Australia,4,Digital Track,1960,6537.13
Finland,4,Physical / Merch,270,6400.87
Austria,4,Physical / Merch,257,6358.15
Portugal,3,Digital Album,944,6136.65
United Kingdom,4,Other,294,5908.55
Japan,3,Other,258,5882.47
Israel,4,Physical / Merch,119,5696.6
Brazil,3,Digital Album,938,5688.02
New Zealand,3,Digital Track,2391,5675.11
Romania,3,Digital Album,822,5511.17
Ireland,3,Digital Track,2109,5508.79
Belgium,4,Digital Album,822,5265.91
Italy,4,Digital Album,760,5070.12
South Africa,3,Digital Album,854,5061.92
Hungary,3,Digital Album,761,4859.56
Sweden,3,Digital Track,2028,4636.46
Spain,4,Digital Album,655,4591.69
Sweden,3,Other,95,4470.1
Singapore,3,Digital Album,638,4374.21
Lithuania,3,Physical / Merch,220,4322.83
Russian Federation,4,Physical / Merch,146,4229.48
Poland,3,Digital Track,2206,4214.57
Hungary,3,Physical / Merch,214,4169.95
Sweden,4,Digital Album,591,4137.06
Finland,4,Digital Album,630,3957.48
C2,3,Digital Album,733,3854.74
New Zealand,4,Digital Album,572,3835.2
Finland,3,Digital Track,1746,3811.45
New Zealand,4,Physical / Merch,172,3774.61
